Наименование,IMO,Ледовый класс,"Скорость, уз",Пункт начала плавания,Пункт окончания плавания,Дата и время начала плавания,Дата и время окончания плавания
Штурман Альбанов,9752084,Arc7,15,точка в Баренцевом море,Саббета 3,01.01.21 23:30,05.01.21 5:00
Штурман Альбанов,9752084,Arc7,15,Саббета 3,точка в Баренцевом море,06.01.21 11:00,10.01.21 18:00
Штурман Альбанов,9752084,Arc7,15,точка в Баренцевом море,Саббета 3,12.01.21 18:00,16.01.21 22:00
Штурман Альбанов,9752084,Arc7,15,Саббета 3,точка в Баренцевом море,17.01.21 6:00,21.01.21 20:45
Штурман Альбанов,9752084,Arc7,15,точка в Баренцевом море,Саббета 3,21.01.21 9:00,26.01.21 22:00
Штурман Альбанов,9752084,Arc7,15,Саббета 3,точка в Баренцевом море,28.01.21 1:00,02.02.21 19:00
Штурман Кошелев,9759939,Arc7,15,Саббета 3,точка в Баренцевом море,02.01.21 20:30,06.01.21 7:00
Штурман Кошелев,9759939,Arc7,15,точка в Баренцевом море,Саббета 3,07.01.21 19:00,11.01.21 3:20
Штурман Кошелев,9759939,Arc7,15,Саббета 3,точка в Баренцевом море,13.01.21 16:00,17.01.21 14:00
Штурман Кошелев,9759939,Arc7,15,точка в Баренцевом море,Саббета 3,17.01.21 13:00,21.01.21 16:20
Штурман Кошелев,9759939,Arc7,15,Саббета 3,точка в Баренцевом море,22.01.21 7:30,26.01.21 19:00
Штурман Кошелев,9759939,Arc7,15,точка в Баренцевом море,Саббета 3,28.01.21 2:00,03.02.21 19:00
Лагорта,9194012,Arc5,15,точка в Баренцевом море,Саббета 3,27.12.20 23:00,07.01.21 17:00
Лагорта,9194012,Arc5,15,Саббета 3,точка в Баренцевом море,20.01.21 15:00,30.01.21 22:00
Михаил Лазарев,9837547,Arc7,15,Саббета 2,точка в Баренцевом море,14.01.21 22:00,18.01.21 10:00
Михаил Лазарев,9837547,Arc7,15,точка в Баренцевом море,Саббета 2,19.01.21 12:00,23.01.21 12:00
Юрий Кучиев,9804033,Arc7,14,Саббета 1,точка в Баренцевом море,07.01.21 0:00,10.01.21 14:00
Юрий Кучиев,9804033,Arc7,14,точка в Баренцевом море,Саббета 1,26.01.21 22:00,31.01.21 20:00
Эдуард Толль,9750696,Arc7,19,точка в Баренцевом море,Саббета 1,01.01.21 17:30,04.01.21 5:00
Эдуард Толль,9750696,Arc7,19,Саббета 1,точка в Баренцевом море,07.01.21 17:00,11.01.21 12:30
Борис Давыдов,9768394,Arc7,19,точка в Баренцевом море,Саббета 1,08.01.21 22:00,10.01.21 14:15
Владимир Воронин,9750737,Arc7,19,точка в Баренцевом море,Саббета 1,16.01.21 18:00,18.01.21 19:00
Владимир Воронин,9750737,Arc7,19,Саббета 1,точка в Баренцевом море,26.01.21 10:00,29.01.21 22:30
Владимир Русанов,9750701,Arc7,19,Саббета 1,точка в Баренцевом море,01.01.21 0:00,03.01.21 12:45
Арктика-2,9243801,Arc5,14,точка в Баренцевом море,Саббета 2,13.01.21 1:30,16.01.21 9:30
Арктика-2,9243801,Arc5,14,Саббета 2,точка в Баренцевом море,24.01.21 21:00,28.01.21 21:00
РЗК Константа,8711289,Arc5,15,Сабетта 2,точка в Баренцевом море,29.12.20 15:00,02.01.21 19:30
РЗК Константа,8711289,Arc5,15,точка в Баренцевом море,Сабетта 1,09.01.21 3:00,13.01.21 21:30
РЗК Константа,8711289,Arc5,15,Сабетта 1,точка в Баренцевом море,19.01.21 4:00,22.01.21 18:00
Беринг,9267297,Arc4,14,Сабетта 2,точка в Баренцевом море,05.01.21 21:00,08.01.21 10:00
Беринг,9267297,Arc4,14,точка в Баренцевом море,Сабетта 2,24.01.21 10:00,28.01.21 22:00
Северный проект,9202053,Arc4,12,точка в Баренцевом море,Сабетта 2,23.01.21 0:30,30.01.21 21:00
Мыс Желания,9366110,Arc4,16,точка в Баренцевом море,Сабетта 2,31.12.20 12:00,02.01.21 12:00
Мыс Желания,9366110,Arc4,16,Сабетта 2,точка в Баренцевом море,16.01.2021 12:30,19.01.21 22:00
Мыс Желания,9366110,Arc4,16,точка в Баренцевом море,Сабетта 2,29.01.21 10:00,01.02.2021 23:30
Никифор Бегичев,9014896,Arc4,14,точка в Баренцевом море,Сабетта 2,16.01.21 3:00,20.01.21 3:00
Никифор Бегичев,9014896,Arc4,14,Сабетта 2,точка в Баренцевом море,22.01.21 3:00,26.01.21 22:00
LNG PHECDA,9834313,No ice class,18,точка в Баренцевом море,Сабетта 1,02.01.21 12:30,04.01.21 12:00
LNG PHECDA,9834313,No ice class,18,Сабетта 1,точка в Баренцевом море,04.01.21 11:00,06.01.21 14:00
LNG PHECDA,9834313,No ice class,18,точка в Баренцевом море,Сабетта 1,16.01.21 9:00,18.01.21 16:30
LNG PHECDA,9834313,No ice class,18,Сабетта 1,точка в Баренцевом море,20.01.21 9:00,22.01.21 22:00
LNG DUBHE,9834296,No ice class,16,точка в Баренцевом море,Сабетта 1,02.01.21 0:30,03.01.21 23:30
LNG DUBHE,9834296,No ice class,16,Сабетта 1,точка в Баренцевом море,06.01.21 15:00,08.01.21 16:00
LNG DUBHE,9834296,No ice class,16,точка в Баренцевом море,Сабетта 1,12.01.21 10:00,14.01.21 16:30
LNG DUBHE,9834296,No ice class,16,Сабетта 1,точка в Баренцевом море,13.01.21 19:30,15.01.21 10:00
LNG DUBHE,9834296,No ice class,16,точка в Баренцевом море,Сабетта 1,22.01.21 7:00,24.01.21 18:30
LNG DUBHE,9834296,No ice class,16,Сабетта 1,точка в Баренцевом море,23.01.21 0:30,25.01.21 23:30
